id,J_id,J1,J2,Total_Freq,Case_Opps,Agree_Freq_By_Issue,Opps_By_Issue,issueArea,Year,J1name,J1Prez,J1PrezParty,J1party,J2name,J2Prez,J2PrezParty,J2party,G1,G2,ColorValue
1,78_79,78,79,125,192,18,28,1,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
2,78_79,78,79,125,192,6,9,2,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
3,78_79,78,79,125,192,7,15,3,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
4,78_79,78,79,125,192,4,7,4,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
5,78_79,78,79,125,192,1,1,5,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
6,78_79,78,79,125,192,0,0,6,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
7,78_79,78,79,125,192,15,19,7,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
8,78_79,78,79,125,192,42,63,8,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
9,78_79,78,79,125,192,21,28,9,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
10,78_79,78,79,125,192,4,6,10,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
11,78_79,78,79,125,192,2,4,11,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
12,78_79,78,79,125,192,5,11,12,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
13,78_79,78,79,125,192,0,0,13,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
14,78_79,78,79,125,192,0,0,14,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
15,78_79,78,79,125,192,0,1,15,1946,HLBlack,FDR,D,D,SFReed,FDR,D,D,1,1,1
16,78_80,78,80,114,192,17,28,1,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
17,78_80,78,80,114,192,4,9,2,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
18,78_80,78,80,114,192,4,15,3,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
19,78_80,78,80,114,192,7,7,4,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
20,78_80,78,80,114,192,1,1,5,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
21,78_80,78,80,114,192,0,0,6,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
22,78_80,78,80,114,192,11,19,7,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
23,78_80,78,80,114,192,42,63,8,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
24,78_80,78,80,114,192,16,28,9,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
25,78_80,78,80,114,192,3,6,10,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
26,78_80,78,80,114,192,3,4,11,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
27,78_80,78,80,114,192,6,11,12,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
28,78_80,78,80,114,192,0,0,13,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
29,78_80,78,80,114,192,0,0,14,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
30,78_80,78,80,114,192,0,1,15,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1,1,1
