J2,J1,AllIssues_Total_Freq,AllIssues_Case_Opps,Total_Freq,Case_Opps,Year,J1name,J1Prez,J1PrezParty,J1party,J2name,J2Prez,J2PrezParty,J2party,J_id,G1,G2,ColorValue,Topic
90,84,68,90,19,22,1953,RHJackson,FDR,D,D,EWarren,Eisenhower,R,R,84_90,1,1,0,Criminal Procedure
81,80,78,169,16,35,1960,FFrankfurter,FDR,D,I,WODouglas,FDR,D,D,80_81,1,2,1,Criminal Procedure
105,104,76,108,17,19,2002,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,104_105,1,1,-1,Criminal Procedure
103,95,146,209,19,29,1981,BRWhite,Kennedy,D,D,JPStevens,Ford,R,R,95_103,1,1,0,Criminal Procedure
86,84,98,144,20,34,1947,RHJackson,FDR,D,D,HHBurton,Truman,D,R,84_86,1,1,1,Criminal Procedure
97,81,80,102,23,28,1968,WODouglas,FDR,D,D,AFortas,LBJ,D,D,81_97,1,1,1,Criminal Procedure
95,94,165,219,35,45,1963,PStewart,Eisenhower,R,R,BRWhite,Kennedy,D,D,94_95,1,1,0,Criminal Procedure
104,103,125,214,34,64,1985,JPStevens,Ford,R,R,SDOConnor,Reagan,R,R,103_104,2,1,-1,Criminal Procedure
102,100,127,188,25,34,1980,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,100_102,1,1,-1,Criminal Procedure
89,81,1,2,1,1,1956,WODouglas,FDR,D,D,SMinton,Truman,D,D,81_89,2,1,1,Criminal Procedure
109,108,76,107,18,26,1993,CThomas,Bush,R,R,RBGinsburg,Clinton,D,D,108_109,1,1,0,Criminal Procedure
98,78,109,160,25,47,1968,HLBlack,FDR,D,D,TMarshall,LBJ,D,D,78_98,1,1,1,Criminal Procedure
103,100,136,194,28,44,1984,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,100_103,1,1,-1,Criminal Procedure
109,107,82,94,23,27,2008,DHSouter,Bush,R,R,RBGinsburg,Clinton,D,D,107_109,2,2,0,Criminal Procedure
94,93,130,147,33,37,1958,CEWhittaker,Eisenhower,R,R,PStewart,Eisenhower,R,R,93_94,2,2,-1,Criminal Procedure
88,78,107,164,10,23,1959,HLBlack,FDR,D,D,TCClark,Truman,D,D,78_88,2,1,1,Criminal Procedure
95,94,133,155,22,22,1964,PStewart,Eisenhower,R,R,BRWhite,Kennedy,D,D,94_95,1,1,0,Criminal Procedure
89,79,90,114,14,16,1951,SFReed,FDR,D,D,SMinton,Truman,D,D,79_89,1,1,1,Criminal Procedure
101,94,169,217,38,50,1972,PStewart,Eisenhower,R,R,LFPowell,Nixon,R,D,94_101,2,1,-1,Criminal Procedure
