id,J2,J1,Total_Freq,J1name,J1Prez,J1PrezParty,J1party,J2name,J2Prez,J2PrezParty,J2party,Year,G1,G2,J_id,Case_Opps,ColorValue
1,101,100,98,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1971,2,1,100_101,120,-1
2,101,100,187,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1972,1,1,100_101,221,-1
3,101,100,186,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1973,1,1,100_101,220,-1
4,101,100,165,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1974,1,1,100_101,192,-1
5,101,100,181,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1975,1,1,100_101,212,-1
6,101,100,190,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1976,1,1,100_101,227,-1
7,101,100,136,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1977,1,1,100_101,167,-1
8,101,100,123,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1978,1,1,100_101,162,-1
9,101,100,145,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1979,1,1,100_101,206,-1
10,101,100,139,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1980,1,1,100_101,184,-1
11,101,100,147,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1981,1,1,100_101,208,-1
12,101,100,143,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1982,1,1,100_101,200,-1
13,101,100,178,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1983,1,1,100_101,215,-1
14,101,100,110,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1984,1,1,100_101,127,-1
15,101,100,137,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1985,2,1,100_101,213,-1
16,101,100,156,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,1986,2,1,100_101,237,-1
17,102,100,104,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1971,2,1,100_102,121,-1
18,102,100,179,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1972,1,1,100_102,230,-1
19,102,100,195,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1973,1,1,100_102,227,-1
20,102,100,169,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1974,1,1,100_102,200,-1
21,102,100,175,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1975,1,1,100_102,219,-1
22,102,100,163,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1976,1,1,100_102,204,-1
23,102,100,107,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1977,1,1,100_102,171,-1
24,102,100,137,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1978,1,1,100_102,192,-1
25,102,100,130,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1979,1,1,100_102,209,-1
26,102,100,127,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1980,1,1,100_102,188,-1
27,102,100,139,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1981,1,1,100_102,212,-1
28,102,100,140,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1982,1,1,100_102,204,-1
29,102,100,156,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1983,1,1,100_102,216,-1
30,102,100,137,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1984,1,1,100_102,193,-1
31,102,100,119,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1985,2,1,100_102,216,-1
32,102,100,134,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1986,2,1,100_102,238,-1
33,102,100,138,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1987,1,1,100_102,198,-1
34,102,100,110,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1988,2,1,100_102,187,-1
35,102,100,111,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1989,2,1,100_102,182,-1
36,102,100,88,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1990,2,1,100_102,146,-1
37,102,100,95,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1991,1,1,100_102,152,-1
38,102,100,90,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1992,1,1,100_102,147,-1
39,102,100,64,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1993,1,1,100_102,104,-1
40,103,100,78,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1975,1,1,100_103,112,-1
41,103,100,160,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1976,1,1,100_103,223,-1
42,103,100,112,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1977,1,1,100_103,167,-1
43,103,100,131,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1978,1,1,100_103,188,-1
44,103,100,135,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1979,1,1,100_103,207,-1
45,103,100,141,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1980,1,1,100_103,192,-1
46,103,100,152,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1981,1,1,100_103,209,-1
47,103,100,154,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1982,1,1,100_103,203,-1
48,103,100,150,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1983,1,1,100_103,217,-1
49,103,100,136,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1984,1,1,100_103,194,-1
50,103,100,142,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1985,2,2,100_103,215,-1
51,103,100,160,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1986,2,2,100_103,236,-1
52,103,100,160,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1987,1,1,100_103,199,-1
53,103,100,141,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1988,2,2,100_103,187,-1
54,103,100,134,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1989,2,2,100_103,182,-1
55,103,100,117,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1990,2,2,100_103,146,-1
56,103,100,135,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1991,1,1,100_103,152,-1
57,103,100,123,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1992,1,1,100_103,147,-1
58,103,100,87,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1993,1,1,100_103,104,-1
59,104,100,151,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1981,1,1,100_104,207,-1
60,104,100,142,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1982,1,1,100_104,202,-1
61,104,100,164,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1983,1,1,100_104,216,-1
62,104,100,154,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1984,1,1,100_104,194,-1
63,104,100,138,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1985,2,1,100_104,215,-1
64,104,100,145,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1986,2,1,100_104,238,-1
65,104,100,124,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1987,1,1,100_104,198,-1
66,104,100,109,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1988,2,1,100_104,179,-1
67,104,100,114,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1989,2,1,100_104,180,-1
68,104,100,99,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1990,2,1,100_104,145,-1
69,104,100,107,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1991,1,1,100_104,152,-1
70,104,100,103,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1992,1,1,100_104,147,-1
71,104,100,59,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1993,1,1,100_104,102,-1
72,105,100,131,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1986,2,1,100_105,232,-1
73,105,100,131,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1987,1,1,100_105,197,-1
74,105,100,108,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1988,2,1,100_105,187,-1
75,105,100,111,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1989,2,1,100_105,182,-1
76,105,100,92,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1990,2,1,100_105,144,-1
77,105,100,76,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1991,1,1,100_105,152,-1
78,105,100,91,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1992,1,1,100_105,147,-1
79,105,100,61,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1993,1,1,100_105,104,-1
80,106,100,62,HABlackmun,Nixon,R,R,AMKennedy,Reagan,R,R,1987,1,1,100_106,86,-1
