id,J2,J1,freq,J1name,J1Prez,J1PrezParty,J1party,J2name,J2Prez,J2PrezParty,J2party,Year,G1,G2,J_id
1,79,78,125,HLBlack,FDR,D,D,SFReed,FDR,D,D,1946,1,1,78_79
2,80,78,114,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1946,1,1,78_80
3,80,79,133,SFReed,FDR,D,D,FFrankfurter,FDR,D,I,1946,1,1,79_80
4,81,79,128,SFReed,FDR,D,D,WODouglas,FDR,D,D,1946,1,1,79_81
5,81,80,112,FFrankfurter,FDR,D,I,WODouglas,FDR,D,D,1946,1,1,80_81
6,81,78,141,HLBlack,FDR,D,D,WODouglas,FDR,D,D,1946,1,1,78_81
7,82,81,144,WODouglas,FDR,D,D,FMurphy,FDR,D,D,1946,1,1,81_82
8,82,78,157,HLBlack,FDR,D,D,FMurphy,FDR,D,D,1946,1,1,78_82
9,82,79,124,SFReed,FDR,D,D,FMurphy,FDR,D,D,1946,1,1,79_82
10,82,80,108,FFrankfurter,FDR,D,I,FMurphy,FDR,D,D,1946,1,1,80_82
11,84,80,137,FFrankfurter,FDR,D,I,RHJackson,FDR,D,D,1946,1,1,80_84
12,84,82,106,FMurphy,FDR,D,D,RHJackson,FDR,D,D,1946,1,1,82_84
13,84,78,114,HLBlack,FDR,D,D,RHJackson,FDR,D,D,1946,1,1,78_84
14,84,79,127,SFReed,FDR,D,D,RHJackson,FDR,D,D,1946,1,1,79_84
15,84,81,101,WODouglas,FDR,D,D,RHJackson,FDR,D,D,1946,1,1,81_84
16,85,78,159,HLBlack,FDR,D,D,WBRutledge,FDR,D,D,1946,1,1,78_85
17,85,82,157,FMurphy,FDR,D,D,WBRutledge,FDR,D,D,1946,1,1,82_85
18,85,81,135,WODouglas,FDR,D,D,WBRutledge,FDR,D,D,1946,1,1,81_85
19,85,80,112,FFrankfurter,FDR,D,I,WBRutledge,FDR,D,D,1946,1,1,80_85
20,85,84,107,RHJackson,FDR,D,D,WBRutledge,FDR,D,D,1946,1,1,84_85
21,85,79,129,SFReed,FDR,D,D,WBRutledge,FDR,D,D,1946,1,1,79_85
22,86,79,152,SFReed,FDR,D,D,HHBurton,Truman,D,R,1946,1,1,79_86
23,86,78,131,HLBlack,FDR,D,D,HHBurton,Truman,D,R,1946,1,1,78_86
24,86,81,127,WODouglas,FDR,D,D,HHBurton,Truman,D,R,1946,1,1,81_86
25,86,85,129,WBRutledge,FDR,D,D,HHBurton,Truman,D,R,1946,1,1,85_86
26,86,82,120,FMurphy,FDR,D,D,HHBurton,Truman,D,R,1946,1,1,82_86
27,86,80,146,FFrankfurter,FDR,D,I,HHBurton,Truman,D,R,1946,1,1,80_86
28,86,84,130,RHJackson,FDR,D,D,HHBurton,Truman,D,R,1946,1,1,84_86
29,87,81,123,WODouglas,FDR,D,D,FMVinson,Truman,D,D,1946,1,1,81_87
30,87,82,125,FMurphy,FDR,D,D,FMVinson,Truman,D,D,1946,1,1,82_87
31,87,79,143,SFReed,FDR,D,D,FMVinson,Truman,D,D,1946,1,1,79_87
32,87,80,148,FFrankfurter,FDR,D,I,FMVinson,Truman,D,D,1946,1,1,80_87
33,87,84,138,RHJackson,FDR,D,D,FMVinson,Truman,D,D,1946,1,1,84_87
34,87,78,135,HLBlack,FDR,D,D,FMVinson,Truman,D,D,1946,1,1,78_87
35,87,85,123,WBRutledge,FDR,D,D,FMVinson,Truman,D,D,1946,1,1,85_87
36,87,86,156,HHBurton,Truman,D,R,FMVinson,Truman,D,D,1946,1,1,86_87
37,79,78,102,HLBlack,FDR,D,D,SFReed,FDR,D,D,1947,2,1,78_79
38,80,78,87,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,1947,2,1,78_80
39,80,79,108,SFReed,FDR,D,D,FFrankfurter,FDR,D,I,1947,1,1,79_80
40,81,79,82,SFReed,FDR,D,D,WODouglas,FDR,D,D,1947,1,2,79_81
41,81,80,77,FFrankfurter,FDR,D,I,WODouglas,FDR,D,D,1947,1,2,80_81
42,81,78,118,HLBlack,FDR,D,D,WODouglas,FDR,D,D,1947,2,2,78_81
43,82,81,106,WODouglas,FDR,D,D,FMurphy,FDR,D,D,1947,2,2,81_82
